CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer
14540,,Randy,,Lin,,8848 Auburn,,London,England,United Kingdom,W1Y 3RA,1 (11) 500 555-0138,4/18/1958,Bachelors ,Manual,M,M,1,0,0,1,35455,70,1
18054,,Jake,,Zeng,,4058 First Ave,,Cliffside,British Columbia,Canada,V8Y 1L1,987-555-0118,10/6/1960,Bachelors ,Professional,M,S,0,1,0,0,43980,69,0
16955,,Nathaniel,,Bradley,,3679 Diablo View Road,,Metchosin,British Columbia,Canada,V9,145-555-0167,8/18/1969,Bachelors ,Skilled Manual,M,M,1,0,2,2,57713,102,0
11626,,Destiny,,Rogers,,3588 Vancouver Way,,San Francisco,California,United States,94109,262-555-0170,6/14/1973,Graduate Degree,Skilled Manual,F,M,1,0,0,1,53438,49,0
18651,,Isaiah,A,Mitchell,,5014 Steele Drive,,Lynnwood,Washington,United States,98036,694-555-0195,5/6/1955,High School,Clerical,M,M,0,2,0,1,55291,73,0
17277,,Nichole,A,Goel,,2511 Via Appia,,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0184,11/16/1969,Graduate Degree,Management,F,M,1,0,0,1,119901,56,1
20802,,Jon,,Li,,"191, rue de Cambrai",,Bobigny,Seine Saint Denis,France,93000,1 (11) 500 555-0125,2/24/1957,Partial College,Manual,M,S,1,0,0,2,10737,59,0
24581,,Reginald,A,Diaz,,8742 Longbrood Way,,Oxford,England,United Kingdom,OX1,1 (11) 500 555-0166,10/13/1947,Partial High School,Professional,M,M,1,4,5,5,146872,159,1
20068,,Alexandria,F,Peterson,,7480 Violet Ct,,Novato,California,United States,94947,193-555-0142,4/24/1974,Partial College,Clerical,F,S,1,2,3,3,49155,62,0
29128,,Alyssa,,Reed,,2559 Gumwood,,Grossmont,California,United States,91941,966-555-0118,9/14/1966,Graduate Degree,Management,F,M,1,3,1,1,148083,62,0
23504,,George,,Rana,,8149 Olivera Road,,Ballard,Washington,United States,98107,206-555-0177,12/17/1960,Partial College,Professional,M,M,1,4,4,5,129222,151,1
13002,,Roger,A,Cai,,8311 Roland Drive,,Rhodes,New South Wales,Australia,2138,1 (11) 500 555-0194,8/22/1967,Graduate Degree,Management,M,M,0,2,5,5,145742,165,1
15301,,Amy,A,Guo,,6538 Camelback Road,,Colma,California,United States,94014,673-555-0145,2/19/1972,Graduate Degree,Professional,F,S,1,0,0,1,76970,45,1
17457,,Katherine,,Allen,,9424 Pine Creek Way,,Burien,Washington,United States,98168,737-555-0166,3/27/1954,Partial High School,Skilled Manual,F,M,0,2,0,3,65228,45,0
17988,,Alfredo,W,Diaz,,"9833, rue des Ecoles",,Paris,Seine (Paris),France,75016,1 (11) 500 555-0175,12/23/1965,High School,Manual,M,S,1,1,2,2,23147,76,1
18203,,Louis,A,Kumar,,8568 San Vincente Drive,,Milsons Point,New South Wales,Australia,2061,1 (11) 500 555-0126,2/26/1973,High School,Management,M,S,1,2,5,5,129111,145,1
19449,,Nuan,,Yuan,,Höhenstr 9415,,Braunschweig,Nordrhein-Westfalen,Germany,38001,1 (11) 500 555-0148,8/13/1926,High School,Manual,M,M,0,2,0,4,16453,46,0
23395,,Ryan,A,Martinez,,3193 Nephi Court,,West Covina,California,United States,91791,220-555-0132,2/8/1967,Graduate Degree,Professional,M,S,1,1,0,0,112536,80,1
21962,,Kristi,M,Smith,,4580 Duck Horn Court,,Melton,Victoria,Australia,3337,1 (11) 500 555-0131,5/1/1967,Graduate Degree,Management,F,S,1,2,5,5,119533,97,1
26566,,Crystal,M,Chen,,2402 Cinnabar St.,,Sunbury,Victoria,Australia,3429,1 (11) 500 555-0148,3/23/1954,Partial High School,Clerical,F,S,0,2,0,3,40888,42,0
21481,,Jose,R,Diaz,,4810 Rahn Court,,Edmonds,Washington,United States,98020,733-555-0116,5/9/1949,Partial College,Professional,M,M,1,2,1,2,96088,89,0
22547,,Elijah,C,Flores,,6465 Brushcreek Dr,,National City,California,United States,91950,337-555-0173,10/3/1971,Graduate Degree,Skilled Manual,M,S,1,0,0,1,97473,74,0
17512,,Cesar,,Suri,,6306 Knollview Court,,Goulburn,New South Wales,Australia,2580,1 (11) 500 555-0112,8/8/1956,High School,Skilled Manual,M,M,1,2,0,2,77406,78,0
23657,,Alison,,Jai,,7624 Crawford,,Gold Coast,Queensland,Australia,4217,1 (11) 500 555-0188,11/2/1971,Bachelors ,Professional,F,S,0,4,0,0,108449,45,0
16753,,Rachel,,Harris,,8790 N. 108th St.,,Lake Oswego,Oregon,United States,97034,522-555-0152,2/23/1972,Partial College,Skilled Manual,F,S,1,2,0,0,82133,46,0
23678,,Kelly,,Diaz,,4765 L St.,,Lincoln Acres,California,United States,91950,384-555-0143,9/9/1940,Bachelors ,Management,F,S,1,2,0,3,64071,44,0
21863,,Shawna,P,Anand,,Hans-Rosenthal-Platz 502,,München,Hessen,Germany,80074,1 (11) 500 555-0127,8/22/1948,Partial High School,Skilled Manual,F,S,1,4,1,4,81517,60,1
